grid_id,modelo_id,modelo,cenario,horizonte,ano_inicio,ano_fim,tr_anos,n_historico,n_futuro,q_historico_modelo_mm,q_futuro_modelo_mm,fator_mudanca_diaria,p24_ancorada_idf_mm,metodo_historico,metodo_futuro,erro_historico,erro_futuro,peso_rea,serie_observada_anual_usada
6931,176,GFDL-CM4,ssp126,2040_2059,2040,2059,25,65,0,47.747840,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,176,GFDL-CM4,ssp126,2040_2059,2040,2059,50,65,0,51.769937,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,176,GFDL-CM4,ssp126,2060_2100,2060,2100,25,65,0,47.747840,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,176,GFDL-CM4,ssp126,2060_2100,2060,2100,50,65,0,51.769937,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,176,GFDL-CM4,ssp245,2040_2059,2040,2059,25,65,20,47.747840,39.062657,0.818103,184.099877,gev_mle,gev_mle,,,,False
6931,176,GFDL-CM4,ssp245,2040_2059,2040,2059,50,65,20,51.769937,40.001309,0.772674,190.338408,gev_mle,gev_mle,,,,False
6931,176,GFDL-CM4,ssp245,2060_2100,2060,2100,25,65,41,47.747840,52.145937,1.092111,245.760563,gev_mle,gev_mle,,,,False
6931,176,GFDL-CM4,ssp245,2060_2100,2060,2100,50,65,41,51.769937,57.943919,1.119258,275.714811,gev_mle,gev_mle,,,,False
6931,176,GFDL-CM4,ssp370,2040_2059,2040,2059,25,65,0,47.747840,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,176,GFDL-CM4,ssp370,2040_2059,2040,2059,50,65,0,51.769937,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,176,GFDL-CM4,ssp370,2060_2100,2060,2100,25,65,0,47.747840,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,176,GFDL-CM4,ssp370,2060_2100,2060,2100,50,65,0,51.769937,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,176,GFDL-CM4,ssp585,2040_2059,2040,2059,25,65,20,47.747840,55.716206,1.166884,262.587020,gev_mle,gev_mle,,,,False
6931,176,GFDL-CM4,ssp585,2040_2059,2040,2059,50,65,20,51.769937,64.282515,1.241696,305.875777,gev_mle,gev_mle,,,,False
6931,176,GFDL-CM4,ssp585,2060_2100,2060,2100,25,65,41,47.747840,49.403808,1.034682,232.837077,gev_mle,gev_mle,,,,False
6931,176,GFDL-CM4,ssp585,2060_2100,2060,2100,50,65,41,51.769937,56.460663,1.090607,268.657026,gev_mle,gev_mle,,,,False
6931,183,GFDL-CM4_gr2,ssp126,2040_2059,2040,2059,25,65,0,48.306104,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,183,GFDL-CM4_gr2,ssp126,2040_2059,2040,2059,50,65,0,52.862835,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,183,GFDL-CM4_gr2,ssp126,2060_2100,2060,2100,25,65,0,48.306104,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,183,GFDL-CM4_gr2,ssp126,2060_2100,2060,2100,50,65,0,52.862835,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,183,GFDL-CM4_gr2,ssp245,2040_2059,2040,2059,25,65,20,48.306104,43.025104,0.890676,200.431221,gev_mle,gev_mle,,,,False
6931,183,GFDL-CM4_gr2,ssp245,2040_2059,2040,2059,50,65,20,52.862835,45.760710,0.865650,213.241715,gev_mle,gev_mle,,,,False
6931,183,GFDL-CM4_gr2,ssp245,2060_2100,2060,2100,25,65,41,48.306104,50.561629,1.046692,235.539907,gev_mle,gev_mle,,,,False
6931,183,GFDL-CM4_gr2,ssp245,2060_2100,2060,2100,50,65,41,52.862835,54.617301,1.033189,254.512809,gev_mle,gev_mle,,,,False
6931,183,GFDL-CM4_gr2,ssp370,2040_2059,2040,2059,25,65,0,48.306104,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,183,GFDL-CM4_gr2,ssp370,2040_2059,2040,2059,50,65,0,52.862835,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,183,GFDL-CM4_gr2,ssp370,2060_2100,2060,2100,25,65,0,48.306104,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,183,GFDL-CM4_gr2,ssp370,2060_2100,2060,2100,50,65,0,52.862835,,,,gev_mle,nao_determinado,,n_insuficiente,,False
6931,183,GFDL-CM4_gr2,ssp585,2040_2059,2040,2059,25,65,20,48.306104,55.263334,1.144024,257.442666,gev_mle,gev_mle,,,,False
6931,183,GFDL-CM4_gr2,ssp585,2040_2059,2040,2059,50,65,20,52.862835,62.690761,1.185914,292.134570,gev_mle,gev_mle,,,,False
6931,183,GFDL-CM4_gr2,ssp585,2060_2100,2060,2100,25,65,41,48.306104,44.129492,0.913539,205.575980,gev_mle,gev_mle,,,,False
6931,183,GFDL-CM4_gr2,ssp585,2060_2100,2060,2100,50,65,41,52.862835,48.494527,0.917365,225.981110,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp126,2040_2059,2040,2059,25,65,20,43.674720,79.252700,1.814613,408.347014,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp126,2040_2059,2040,2059,50,65,20,45.895880,103.902611,2.263877,557.676865,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp126,2060_2100,2060,2100,25,65,41,43.674720,47.463963,1.086761,244.556557,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp126,2060_2100,2060,2100,50,65,41,45.895880,51.809512,1.128849,278.077385,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp245,2040_2059,2040,2059,25,65,20,43.674720,41.728032,0.955428,215.002356,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp245,2040_2059,2040,2059,50,65,20,45.895880,44.606528,0.971907,239.416779,gev_mle,gev_mle,,,,False
6931,190,GFDL-ESM4,ssp245,2060_2100,2060,2100,25,65,41,43.674720,39.105908,0.895390,201.491948,gev_mle,gev_mle,,,,False
