grid_id,modelo_id,cenario_id,cenario,ano,prec_max
18355,95,4,ssp370,2057,31.885320
18355,95,4,ssp370,2058,29.487920
18355,95,4,ssp370,2059,24.846048
18355,95,4,ssp370,2060,27.512182
18355,95,4,ssp370,2061,33.996815
18355,95,4,ssp370,2062,28.355625
18355,95,4,ssp370,2063,35.869880
18355,95,4,ssp370,2064,26.635990
18355,95,4,ssp370,2065,20.542130
18355,95,4,ssp370,2066,34.722507
18355,95,4,ssp370,2067,31.825760
18355,95,4,ssp370,2068,40.023075
18355,95,4,ssp370,2069,26.777450
18355,95,4,ssp370,2070,29.160078
18355,95,4,ssp370,2071,23.922161
18355,95,4,ssp370,2072,33.277016
18355,95,4,ssp370,2073,23.407469
18355,95,4,ssp370,2074,34.519490
18355,95,4,ssp370,2075,34.718983
18355,95,4,ssp370,2076,28.928230
18355,95,4,ssp370,2077,37.107220
18355,95,4,ssp370,2078,32.343994
18355,95,4,ssp370,2079,35.913940
18355,95,4,ssp370,2080,26.979488
18355,95,4,ssp370,2081,53.842873
18355,95,4,ssp370,2082,22.663708
18355,95,4,ssp370,2083,18.931242
18355,95,4,ssp370,2084,46.229767
18355,95,4,ssp370,2085,40.645496
18355,95,4,ssp370,2086,34.074520
18355,95,4,ssp370,2087,27.049850
18355,95,4,ssp370,2088,28.933884
18355,95,4,ssp370,2089,28.799881
18355,95,4,ssp370,2090,32.644234
18355,95,4,ssp370,2091,28.099000
18355,95,4,ssp370,2092,32.879482
18355,95,4,ssp370,2093,22.518684
18355,95,4,ssp370,2094,29.120625
18355,95,4,ssp370,2095,24.142418
18355,95,4,ssp370,2096,28.991800
18355,95,4,ssp370,2097,36.571682
18355,95,4,ssp370,2098,35.688830
18355,95,4,ssp370,2099,32.162106
18355,95,4,ssp370,2100,34.140602
18355,95,5,ssp585,2015,28.544720
18355,95,5,ssp585,2016,34.332474
18355,95,5,ssp585,2017,57.551330
18355,95,5,ssp585,2018,32.989870
18355,95,5,ssp585,2019,34.612076
18355,95,5,ssp585,2020,31.632782
18355,95,5,ssp585,2021,32.977448
18355,95,5,ssp585,2022,23.113098
18355,95,5,ssp585,2023,39.468930
18355,95,5,ssp585,2024,26.660830
18355,95,5,ssp585,2025,30.487236
18355,95,5,ssp585,2026,37.879700
18355,95,5,ssp585,2027,28.872868
18355,95,5,ssp585,2028,35.009018
18355,95,5,ssp585,2029,32.786922
18355,95,5,ssp585,2030,27.684010
18355,95,5,ssp585,2031,31.375889
18355,95,5,ssp585,2032,28.748114
18355,95,5,ssp585,2033,32.168514
18355,95,5,ssp585,2034,25.051538
18355,95,5,ssp585,2035,32.348656
18355,95,5,ssp585,2036,31.603477
18355,95,5,ssp585,2037,28.354010
18355,95,5,ssp585,2038,31.581282
18355,95,5,ssp585,2039,33.721490
18355,95,5,ssp585,2040,30.266771
18355,95,5,ssp585,2041,27.061506
18355,95,5,ssp585,2042,28.059092
18355,95,5,ssp585,2043,31.253819
18355,95,5,ssp585,2044,26.303757
18355,95,5,ssp585,2045,22.470732
18355,95,5,ssp585,2046,69.283280
18355,95,5,ssp585,2047,27.913456
18355,95,5,ssp585,2048,37.774340
18355,95,5,ssp585,2049,31.452135
18355,95,5,ssp585,2050,31.747416
18355,95,5,ssp585,2051,31.071670
18355,95,5,ssp585,2052,40.734737
18355,95,5,ssp585,2053,34.658264
18355,95,5,ssp585,2054,33.647320
18355,95,5,ssp585,2055,33.094353
18355,95,5,ssp585,2056,26.159956
18355,95,5,ssp585,2057,38.312332
18355,95,5,ssp585,2058,37.824440
18355,95,5,ssp585,2059,28.816538
18355,95,5,ssp585,2060,43.228878
18355,95,5,ssp585,2061,30.727509
18355,95,5,ssp585,2062,21.095716
18355,95,5,ssp585,2063,28.074835
18355,95,5,ssp585,2064,32.351160
18355,95,5,ssp585,2065,27.685051
18355,95,5,ssp585,2066,22.255665
18355,95,5,ssp585,2067,30.344532
18355,95,5,ssp585,2068,36.368076
18355,95,5,ssp585,2069,26.385023
18355,95,5,ssp585,2070,30.392702
18355,95,5,ssp585,2071,30.279747
18355,95,5,ssp585,2072,24.689838
18355,95,5,ssp585,2073,32.782726
18355,95,5,ssp585,2074,25.905876
18355,95,5,ssp585,2075,30.550230
18355,95,5,ssp585,2076,25.756413
18355,95,5,ssp585,2077,33.092830
18355,95,5,ssp585,2078,41.804800
18355,95,5,ssp585,2079,31.902153
18355,95,5,ssp585,2080,20.910679
