"id_link","node_in","node_out","classe","origem","comp_m","cota_in","cota_out","decl_pct","diam_m","obs","bacia","ID_LINK_ORIG","ID_LINK_SEG","META_ID","META_ORIG","SELECAO_REC","COMP_REC_M","PERC_LINK_REC","X_IN_REC","Y_IN_REC","X_OUT_REC","Y_OUT_REC"
"L_A_0114","N_A_0167","N_A_0139","COLETOR","ColetorA8_F032",158.344485185826,62.3749351501465,58.2544937133789,2.60220078516282,0.6,"DECLIVE_MDE","A","L_A_0114","L_A_0114_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",7.0948176945232,4.48062190874349,288431.933333665,9196152.88832688,288432.987416047,9196159.90440473
"L_A_0116","N_A_0170","N_A_0141","COLETOR","ColetorA8_F033",85.4972416762395,73.2329788208008,70.9038009643555,2.72427251544024,0.6,"DECLIVE_MDE","A","L_A_0116","L_A_0116_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",8.75749559020771,10.2430153517379,288503.051740455,9196148.98646498,288504.509435735,9196157.62179088
"L_A_0117","N_A_0171","N_A_0143","COLETOR","ColetorA8_F034",83.0658850405925,85.4177551269531,84.3880767822266,1.23959233591911,0.6,"DECLIVE_MDE","A","L_A_0117","L_A_0117_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",9.65688022427999,11.6255671261026,288576.4156245,9196145.81728072,288577.930605004,9196155.35458483
"L_A_0119","N_A_0044","N_A_0174","COLETOR","ColetorA8_F035",46.3247980063133,96.9080123901367,95.0809631347656,3.94399832055845,0.6,"DECLIVE_MDE","A","L_A_0119","L_A_0119_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",9.26228930521665,19.9942357091905,288654.519206419,9196153.93937507,288650.067038342,9196145.8172939
"L_A_0146","N_A_0028","N_A_0044","TRONCO","TroncoA2_F001",70.0026595952465,102.05509185791,96.9080123901367,7.35269130849272,0.8,"DECLIVE_MDE","A","L_A_0146","L_A_0146_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",8.29113440805202,11.8440277211641,288662.31078242,9196151.10489925,288654.519206419,9196153.93937507
"L_A_0147","N_A_0044","N_A_0143","TRONCO","TroncoA2_F001",76.6016754733187,96.9080123901367,84.3880767822266,16.3442059596608,0.8,"DECLIVE_MDE","A","L_A_0147","L_A_0147_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",76.6016754734933,100,288654.519206419,9196153.93937507,288577.930605004,9196155.35458483
"L_A_0148","N_A_0143","N_A_0141","TRONCO","TroncoA2_F001",73.480666203004,84.3880767822266,70.9038009643555,18.3507805721552,0.8,"DECLIVE_MDE","A","L_A_0148","L_A_0148_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",73.4806662029456,100,288577.930605004,9196155.35458483,288504.509435735,9196157.62179088
"L_A_0149","N_A_0141","N_A_0138","TRONCO","TroncoA2_F001",71.3398736982352,70.9038009643555,58.2544937133789,17.7310480033685,0.8,"DECLIVE_MDE","A","L_A_0149","L_A_0149_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",71.3398736980029,100,288504.509435735,9196157.62179088,288433.328247737,9196162.35034786
"L_A_0150","N_A_0138","N_A_0135","TRONCO","TroncoA2_F001",70.4093860933884,58.2544937133789,53.6717720031738,6.5086801128002,0.8,"DECLIVE_MDE","A","L_A_0150","L_A_0150_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",70.4093860937946,100,288433.328247737,9196162.35034786,288363.131983642,9196167.82448314
"L_A_0151","N_A_0135","N_A_0131","TRONCO","TroncoA2_F001",74.9037801466658,53.6717720031738,51.6653861999512,2.67861755347199,0.8,"DECLIVE_MDE","A","L_A_0151","L_A_0151_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",74.9037801461428,100,288363.131983642,9196167.82448314,288288.450301671,9196173.55630897
"L_A_0152","N_A_0131","N_A_0129","TRONCO","TroncoA2_F001",67.3995391134282,51.6653861999512,49.5352630615234,3.16044169804025,0.8,"DECLIVE_MDE","A","L_A_0152","L_A_0152_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",67.3995391133118,100,288288.450301671,9196173.55630897,288221.068564867,9196175.10531442
"L_A_0153","N_A_0129","N_A_0127","TRONCO","TroncoA2_F001",73.2793469383391,49.5352630615234,45.8127136230469,5.0799435229805,0.8,"DECLIVE_MDE","A","L_A_0153","L_A_0153_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",73.2793469388044,100,288221.068564867,9196175.10531442,288147.918957328,9196179.32066865
"L_A_0154","N_A_0127","N_A_0159","TRONCO","TroncoA2_F001",70.5326535231941,45.8127136230469,42.0407524108887,5.34782263780537,0.8,"DECLIVE_MDE","A","L_A_0154","L_A_0154_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",70.5326535234265,100,288147.918957328,9196179.32066865,288077.509795267,9196183.49241549
"L_A_0155","N_A_0159","N_A_0123","TRONCO","TroncoA2_F001",74.5906979927348,42.0407524108887,39.3800468444824,3.56707423044279,0.8,"DECLIVE_MDE","A","L_A_0155","L_A_0155_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",74.5906979926772,100,288077.509795267,9196183.49241549,288002.987416045,9196185.81726132
"L_A_0156","N_A_0123","N_A_0120","TRONCO","TroncoA2_F001",69.7012253532871,39.3800468444824,37.4946784973145,2.70492855414206,0.8,"DECLIVE_MDE","A","L_A_0156","L_A_0156_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",69.7012253532871,100,288002.987416045,9196185.81726132,287933.286315904,9196185.68997163
"L_A_0157","N_A_0120","N_A_0151","TRONCO","TroncoA2_F001",133.2129119014,37.4946784973145,27.6653079986572,7.37869201893326,0.8,"DECLIVE_MDE","A","L_A_0157","L_A_0157_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",133.212911901051,100,287933.286315904,9196185.68997163,287800.075160807,9196185.80649548
"L_A_0158","N_A_0151","N_A_0193","TRONCO","TroncoA2_F001",20.2145229284894,27.6653079986572,25.9194660186768,8.63657275591678,0.8,"DECLIVE_MDE","A","L_A_0158","L_A_0158_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",20.2145229284315,100,287800.075160807,9196185.80649548,287779.86323482,9196186.09616051
"L_A_0182","N_A_0118","N_A_0151","TRONCO","TroncoA5_F001",70.0256628476044,33.0120239257812,27.6653079986572,7.63536639240386,0.8,"DECLIVE_MDE","A","L_A_0182","L_A_0182_META_01_01","META_01","META_04","CLIP_EXATO_POLIGONO_AUDITORIA",10.0828057284383,14.3987294349249,287800.205161291,9196195.88691763,287800.075160807,9196185.80649548
"L_B_0007","N_B_0009","N_B_0010","COLETOR","ColetorB1_F005",388.516778750089,116.99341583252,98.5315399169922,4.75188638568499,0.6,"DECLIVE_MDE","B","L_B_0007","L_B_0007_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",7.55687351776798,1.94505718442401,288822.005381904,9195759.68362569,288815.417997772,9195763.38669303
"L_B_0008","N_B_0010","N_B_0011","COLETOR","ColetorB1_F005",427.156895258978,98.5315399169922,62.8238906860352,8.35937558945598,0.6,"DECLIVE_MDE","B","L_B_0008","L_B_0008_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",427.156895258829,100,288815.417997772,9195763.38669303,288556.884832105,9195425.1467801
"L_B_0009","N_B_0012","N_B_0010","COLETOR","ColetorB1_F006",307.735755219708,110.012054443359,98.5315399169922,3.73064043798572,0.6,"DECLIVE_MDE","B","L_B_0009","L_B_0009_META_03_01","META_03","META_01;META_03","CLIP_EXATO_POLIGONO_AUDITORIA",5.89878052550956,1.91683300541243,288819.506634762,9195767.63859369,288815.417997772,9195763.38669303
