BACIA,ID_LINK,NO_IN,NO_OUT,CLASSE,D_ATUAL_M,DPROP_M,DREQ25,DREQ50,DNOM25,DNOM50,COMPR_M,COTA_IN,COTA_OUT,DECL_PCT,Q25_CMS,Q50_CMS,V25_MPS,V50_MPS,STATUS_SW,CRITICO,DIM_STAT,SELEC_META,META_ID,FONTE_SEL,OVERLAP_M,META_HA,X_IN_M,Y_IN_M,X_OUT_M,Y_OUT_M
A,L_A_0028,N_A_0044,N_A_0043,COLETOR,0.6,0.5,0.388159883719322,0.40363669559934,0.4,0.5,411.23913105418467,96.90801239013672,88.61348724365234,2.016959117003749,0.273,0.303,2.73,2.81,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,6.577739659414088,1.73233097011453,288654.519206419,9196153.939375075,288828.7227119361,9196525.851794392
A,L_A_0079,N_A_0119,N_A_0120,COLETOR,0.6,0.4,0.348602621865021,0.365594016659133,0.4,0.4,63.36249454541312,40.287742614746094,37.49467849731445,4.40807158472872,0.303,0.344,1.75,1.87,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,11.120953739050325,1.73233097011453,287941.922271661,9196248.461191019,287933.2863159039,9196185.689971633
A,L_A_0080,N_A_0120,N_A_0121,COLETOR,0.6,0.6,,,,,2.193045120339944,37.49467849731445,37.49467849731445,0.0,0.593,0.63,2.91,2.95,AUDITAR_COTA_SENTIDO,1,PRELIM_SWMM,SIM,META_04,POLIGONO,2.193045120339944,1.73233097011453,287933.2863159039,9196185.689971633,287932.9874160457,9196183.517391192
A,L_A_0081,N_A_0122,N_A_0123,COLETOR,0.6,0.4,0.325880734158889,0.342557281325324,0.4,0.4,147.5584743293287,47.393653869628906,39.38004684448242,5.430800949636615,0.281,0.321,1.45,1.62,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,10.686887738254049,1.73233097011453,288028.7057785612,9196331.117189664,288002.9874160456,9196185.817261323
A,L_A_0082,N_A_0124,N_A_0125,COLETOR,0.6,0.3,0.277198586444149,0.290553664165232,0.3,0.3,145.58230691205034,50.39020538330078,42.04075241088867,5.735211338185628,0.187,0.212,1.43,1.47,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,6.088107267410728,1.73233097011453,288099.1909195336,9196329.847187122,288077.9874160455,9196185.817261323
A,L_A_0083,N_A_0126,N_A_0127,COLETOR,0.6,0.4,0.302355791211562,0.317178089479763,0.4,0.4,148.64194906498153,51.37482833862305,45.812713623046875,3.741954912838631,0.191,0.217,1.01,1.13,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,8.349076441931476,1.73233097011453,288171.7662730169,9196326.037179502,288147.9189573281,9196179.32066865
A,L_A_0084,N_A_0128,N_A_0129,COLETOR,0.6,0.4,0.326094192027541,0.365295367884153,0.4,0.4,150.7564072384951,53.586463928222656,49.53526306152344,2.687249544419203,0.198,0.268,1.02,1.16,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,8.105273235813224,1.73233097011453,288243.8389171639,9196324.132175691,288221.0685648662,9196175.105314422
A,L_A_0085,N_A_0130,N_A_0131,COLETOR,0.6,0.6,0.492632839204223,0.503020265148553,0.5,0.6,146.70019034838558,53.16545867919922,51.66538619995117,1.022542967180652,0.367,0.388,1.56,1.63,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,5.71787324098163,1.73233097011453,288312.8953052776,9196318.205497174,288288.45030167094,9196173.556308974
A,L_A_0086,N_A_0132,N_A_0131,COLETOR,0.6,0.8,0.605062282996945,0.627825447389862,0.8,0.8,2.777885010378409,51.70409393310547,51.66538619995117,1.393424602158893,0.744,0.821,2.63,2.9,CAPACIDADE_PRELIM,1,PRELIM_SWMM,SIM,META_04,POLIGONO,2.777885010378409,1.73233097011453,288287.9874160473,9196170.817261323,288288.45030167094,9196173.556308974
A,L_A_0087,N_A_0133,N_A_0134,COLETOR,0.6,0.6,0.556158318684512,0.553197361977951,0.6,0.6,144.47449399160928,55.44401550292969,54.98404312133789,0.318376184531583,0.283,0.279,2.19,2.18,SEM_ALERTA_TRIAGEM,0,PRELIM_SWMM,SIM,META_04,POLIGONO,4.674597200544279,1.73233097011453,288384.65044879063,9196313.760488283,288363.7705570142,9196170.802768892
